"filename", "language", "JavaScript", "Markdown", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 32, 69
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\package-lock.json", "JSON", 0, 0, 0, 0, 14461, 0, 0, 1, 14462
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\package.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 1, 56
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\public\index.html", "HTML", 0, 0, 0, 0, 0, 22, 23, 1, 46
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\App.css", "CSS", 0, 0, 0, 81, 0, 0, 0, 13, 94
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\App.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Global Components\Title.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Global Components\calendar.js", "JavaScript", 71, 0, 0, 0, 0, 0, 3, 13, 87
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Global Components\header.js", "JavaScript", 165, 0, 0, 0, 0, 0, 2, 8, 175
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\Absense.js", "JavaScript", 196, 0, 0, 0, 0, 0, 4, 16, 216
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\ClassesHeader.js", "JavaScript", 191, 0, 0, 0, 0, 0, 6, 8, 205
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\MainMaster.js", "JavaScript", 237, 0, 0, 0, 0, 0, 9, 9, 255
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\MasClasses.js", "JavaScript", 167, 0, 0, 0, 0, 0, 3, 7, 177
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\MasDrawer.js", "JavaScript", 260, 0, 0, 0, 0, 0, 3, 11, 274
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\MasInfo.js", "JavaScript", 88, 0, 0, 0, 0, 0, 3, 12, 103
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\ShowRequests.js", "JavaScript", 221, 0, 0, 0, 0, 0, 3, 28, 252
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\StudentAbsenseInfo.js", "JavaScript", 252, 0, 0, 0, 0, 0, 32, 26, 310
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\Master Components\StudentDetails.js", "JavaScript", 247, 0, 0, 0, 0, 0, 3, 13, 263
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Master\MasterDashboard.js", "JavaScript", 60, 0, 0, 0, 0, 0, 1, 7, 68
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Registration\Login Components\LoginHeader.js", "JavaScript", 175, 0, 0, 0, 0, 0, 3, 7, 185
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Registration\LoginPage.js", "JavaScript", 178, 0, 0, 0, 0, 0, 7, 14, 199
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\ClassSessions.js", "JavaScript", 215, 0, 0, 0, 0, 0, 2, 24, 241
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\ClassesHeader.js", "JavaScript", 191, 0, 0, 0, 0, 0, 7, 7, 205
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\Drawer.js", "JavaScript", 239, 0, 0, 0, 0, 0, 23, 11, 273
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\Info.js", "JavaScript", 90, 0, 0, 0, 0, 0, 2, 11, 103
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\MainStu.js", "JavaScript", 242, 0, 0, 0, 0, 0, 7, 9, 258
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\SendRequests.js", "JavaScript", 143, 0, 0, 0, 0, 0, 6, 11, 160
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\ShowRequests.js", "JavaScript", 174, 0, 0, 0, 0, 0, 3, 22, 199
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\Student Components\StudentClasses.js", "JavaScript", 165, 0, 0, 0, 0, 0, 4, 7, 176
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\Student\StudentDashboard.js", "JavaScript", 58, 0, 0, 0, 0, 0, 2, 6, 66
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\history.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\logo.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 31, 13, 142
"d:\Uni Courses\Final Project\Final UI\final-ui\Final-Project\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 4205, 37, 7, 93, 14541, 22, 199, 369, 19473